Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
No Loss,0,FULLYEAR75G,458.0,Sports Events,low,-1.0,quality of delivery,Unknown,Closed Won
No Loss,0,2SEMESTERS20SALE,576.0,Corporate Events,mid,1.0,financial control,Outbound,Closed Won
No Loss,61,YEARLY30PROMO,1344.0,Corporate Events,mid,-1.0,quality of delivery,Unknown,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,financial control,Outbound,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
No Loss,2,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Won
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,0.0,Unknown,Outbound,Closed Won
No Loss,0,YEARLONG75BONUS,8014.0,Sports Events,high,292.0,operations,Outbound,Closed Won
No Loss,3,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,2SEMESTERS20SALE,576.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,33,MONTH50CUTBACK,300.0,Corporate Events,low,1.0,financial control,Inbound,Demo 1
No Loss,0,SAVEQUARTER25,450.0,Educational Seminars,low,2.0,financial control,Inbound,Closed Won
No Loss,0,GIVEAWAYFREE,120.0,Corporate Events,low,0.0,operations,Outbound,Closed Won
no budget,14,MONTH50CUTBACK,300.0,Corporate Events,low,0.0,financial control,Outbound,Closed Lost
no response,0,No Discount,200.0,Corporate Events,low,1.0,quality of delivery,Outbound,Closed Lost
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,0.0,quality of delivery,Outbound,Negotiation
No Loss,264,MONTH50REBATE,240.0,Corporate Events,low,0.0,financial control,Inbound,Demo 1
No Loss,1,25GIFT,360.0,Sports Events,low,3.0,operations,Inbound,Checkbox
